按性別_按經常居住地區分_及按鄉鎮市區別分_By_Sex_By_Usually_Living_County_City_By_Township_City_District_人數,總計_Grand_total_人數,同現住鄉鎮市區_Same_township_city_district_人數,同現住縣市不同鄉鎮市區_Same_county_city_人數,不同縣市或國外地區_Other_county_city_or_overseas_人數
按性別分_By_Sex,,,,
新竹市_男_Male,52976,42003,5819,5154
新竹市_女_Female,43892,34646,4693,4553
按鄉鎮市區別分_By_Township_City_District,,,,
新竹市東區,53232,47058,1067,5107
East District,,,,
新竹市北區,23683,16195,4800,2688
North District,,,,
新竹市香山區,19953,13396,4645,1912
Xiangshan District,,,,
按性別分_By_Sex,,,,
宜蘭縣_男_Male,30918,21037,8619,1262
宜蘭縣_女_Female,29139,19749,7842,1548
按鄉鎮市區別分_By_Township_City_District,,,,
宜蘭縣宜蘭市,15468,13226,1699,543
Yilan City,,,,
宜蘭縣羅東鎮,8418,6230,1627,561
Luodong Township,,,,
宜蘭縣蘇澳鎮,3403,2639,614,150
Su'ao Township,,,,
宜蘭縣頭城鎮,2924,2123,580,221
Toucheng Township,,,,
宜蘭縣礁溪鄉,5969,4082,1660,227
Jiaoxi Township,,,,
宜蘭縣壯圍鄉,2920,1494,1267,159
Zhuangwei Township,,,,
宜蘭縣員山鄉,3346,1390,1844,112
Yuanshan Township,,,,
宜蘭縣冬山鄉,6894,3531,2927,436
Dongshan Township,,,,
宜蘭縣五結鄉,4954,1980,2737,237
Wujie Township,,,,
宜蘭縣三星鄉,4240,2966,1186,88
Sanxing Township,,,,
宜蘭縣大同鄉,603,390,191,22
Datong Township,,,,
宜蘭縣南澳鄉,918,735,129,54
Nan'ao Township,,,,
按性別分_By_Sex,,,,
新竹縣_男_Male,55993,36730,7708,11555
新竹縣_女_Female,49591,33140,5608,10843
按鄉鎮市區別分_By_Township_City_District,,,,
新竹縣竹北市,41695,29947,2556,9192
Zhubei City,,,,
新竹縣竹東鎮,16502,10532,1934,4036
Zhudong Township,,,,
新竹縣新埔鎮,4428,2175,1459,794
Xinpu Township,,,,
新竹縣關西鎮,3606,2026,691,889
Guanxi Township,,,,
新竹縣湖口鄉,16032,9945,3152,2935
Hukou Township,,,,
新竹縣新豐鄉,13323,10714,1189,1420
Xinfeng Township,,,,
新竹縣芎林鄉,3205,1283,1097,825
Qionglin Township,,,,
新竹縣橫山鄉,1828,1211,351,266
Hengshan Township,,,,
新竹縣北埔鄉,997,391,377,229
Beipu Township,,,,
新竹縣寶山鄉,2532,698,270,1564
Baoshan Township,,,,
新竹縣峨眉鄉,366,130,105,131
Emei Township,,,,
新竹縣尖石鄉,820,652,85,83
Jianshi Township,,,,
新竹縣五峰鄉,250,166,50,34
Wufeng Township,,,,
按性別分_By_Sex,,,,
臺中市_男_Male,255601,173262,71121,11218
臺中市_女_Female,242363,166783,65949,9631
按鄉鎮市區別分_By_Township_City_District,,,,
臺中市中區,2198,453,1578,167
Central District,,,,
臺中市東區,12491,6359,5604,528
East District,,,,
臺中市南區,31487,22450,7942,1095
South District,,,,
臺中市西區,19689,13462,5394,833
West District,,,,
臺中市北區,24157,18598,4645,914
North District,,,,
臺中市西屯區,60197,49010,8946,2241
Xitun District,,,,
臺中市南屯區,33562,24238,7561,1763
Nantun District,,,,
臺中市北屯區,45466,30320,13265,1881
Beitun District,,,,
臺中市豐原區,21010,13534,6208,1268
Fengyuan District,,,,
臺中市東勢區,4624,3412,951,261
Dongshi District,,,,
臺中市大甲區,9728,7506,1432,790
Dajia District,,,,
臺中市清水區,12191,8181,3510,500
Qingshui District,,,,
臺中市沙鹿區,22171,16054,5582,535
Shalu District,,,,
臺中市梧棲區,9516,5268,3914,334
Wuqi District,,,,
臺中市后里區,7384,4575,2323,486
Houli District,,,,
臺中市神岡區,9648,4768,4596,284
Shengang District,,,,
臺中市潭子區,16874,9156,6967,751
Tanzi District,,,,
臺中市大雅區,17310,9611,7006,693
Daya District,,,,
臺中市新社區,2972,1936,938,98
Xinshe District,,,,
臺中市石岡區,1586,707,803,76
Shigang District,,,,
臺中市外埔區,4334,1829,2283,222
Waipu District,,,,
臺中市大安區,2386,841,1421,124
Da'an District,,,,
臺中市烏日區,13612,7535,5266,811
Wuri District,,,,
臺中市大肚區,8522,4130,3959,433
Dadu District,,,,
臺中市龍井區,11460,5659,5427,374
Longjing District,,,,
臺中市霧峰區,23386,20954,1977,455
Wufeng District,,,,
臺中市太平區,33447,23679,8638,1130
Taiping District,,,,
臺中市大里區,35923,25396,8742,1785
Dali District,,,,
臺中市和平區,633,424,192,17
Heping District,,,,
按性別分_By_Sex,,,,
苗栗縣_男_Male,39720,28619,7058,4043
苗栗縣_女_Female,37802,27710,6679,3413
按鄉鎮市區別分_By_Township_City_District,,,,
苗栗縣苗栗市,16075,14466,879,730
Miaoli City,,,,
苗栗縣苑裡鎮,5316,4272,211,833
Yuanli Township,,,,
苗栗縣通霄鎮,2834,1570,989,275
Tongxiao Township,,,,
苗栗縣竹南鎮,14583,10946,1814,1823
Zhunan Township,,,,
苗栗縣頭份市,16896,11240,3308,2348
Toufen City,,,,
苗栗縣後龍鎮,6354,4599,1548,207
Houlong Township,,,,
苗栗縣卓蘭鎮,1408,1028,81,299
Zhuolan Township,,,,
苗栗縣大湖鄉,1337,937,342,58
Dahu Township,,,,
苗栗縣公館鄉,3444,1993,1205,246
Gongguan Township,,,,
苗栗縣銅鑼鄉,2163,925,1126,112
Tongluo Township,,,,
苗栗縣南庄鄉,930,533,285,112
Nanzhuang Township,,,,
